,Unnamed: 0,fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1957,1957,Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8
1958,1958,Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",1.81,88%,1.41,50%,4.83,34%,0%,1.2
1959,1959,Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",0.84,34%,2.04,54%,3.21,36%,36%,0.9
1964,1964,Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,27%,2.39,67%,0.47,33%,79%,0.9
1974,1974,Mallory Martin,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",3.99,59%,5.53,58%,3.37,63%,25%,0.5
1976,1976,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0
1987,1987,Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.8,38%,2.14,65%,0.83,80%,81%,0.4
1989,1989,Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7
1990,1990,Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4
1994,1994,Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.2,47%,3.0,65%,1.57,59%,77%,0.4
2001,2001,Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.03,44%,2.16,61%,1.93,41%,66%,0.6
2007,2007,Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.9,44%,1.62,59%,3.25,46%,70%,0.1
2014,2014,Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,"Aug 19, 1988",3.45,47%,3.07,51%,4.41,63%,33%,0.3
2015,2015,Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7
2017,2017,Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,"Mar 25, 1997",6.56,44%,3.91,60%,0.81,80%,66%,0.2
2021,2021,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.15,50%,4.28,65%,1.64,29%,28%,0.7
2022,2022,Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7
2023,2023,Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2
2025,2025,Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.6,46%,2.28,50%,33%,2.5
2027,2027,Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4
2029,2029,Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,44%,1.98,56%,0.93,50%,50%,1.4
2034,2034,Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,51%,4.56,52%,1.42,100%,56%,0.7
2037,2037,Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.9,36%,3.94,61%,1.6,21%,63%,0.4
2049,2049,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.5,67%,2.5,25%,14%,2.5
2052,2052,Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9
2053,2053,Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.32,45%,1.94,48%,4.41,65%,50%,0.5
2056,2056,James McSweeney,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1
2057,2057,Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.16,48%,3.58,61%,0.92,41%,64%,0.2
2060,2060,Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",4.05,35%,5.38,46%,0.12,25%,76%,0.5
2064,2064,Emil Meek,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0
2068,2068,Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.3,42%,3.61,51%,2.33,43%,46%,1.7
2070,2070,Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2
2075,2075,Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2
2080,2080,Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3
2085,2085,Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0
2094,2094,Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4
2107,2107,Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8
2110,2110,Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.0,33%,3.88,59%,0.6,36%,38%,1.8
2112,2112,Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9
2122,2122,Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",3.24,70%,1.4,43%,3.0,62%,60%,3.6
2128,2128,Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0
2130,2130,Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2
2137,2137,David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0
2140,2140,Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.29,61%,1.46,60%,3.26,46%,33%,2.3
2146,2146,Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6
2149,2149,Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,1.46,57%,70%,0.1
2151,2151,Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
2152,2152,Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.13,30%,5.03,53%,1.42,23%,30%,0.1
2154,2154,Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.85,37%,3.88,60%,1.06,33%,63%,1.2
2156,2156,Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",5.4,46%,3.74,65%,1.28,53%,78%,0.6
2162,2162,Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
2164,2164,Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4
2166,2166,Nicco Montano,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.6,41%,4.43,64%,2.25,54%,69%,0.4
2177,2177,Sergio Moraes,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.2,38%,75%,0.4
2179,2179,Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.38,39%,4.11,56%,1.0,41%,66%,0.4
2181,2181,John Moraga,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1
2184,2184,Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,0.53,50%,23%,2.6
2185,2185,Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2
2188,2188,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2
2189,2189,Sarah Moras,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8
2193,2193,Vinicius Moreira,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",3.15,59%,5.07,43%,1.97,18%,0%,1.3
2194,2194,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.41,38%,3.41,59%,2.01,45%,67%,0.6
2196,2196,Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4
2199,2199,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.96,42%,3.69,56%,0.44,28%,47%,0.4
2200,2200,Maryna Moroz,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",4.09,31%,4.15,53%,0.56,18%,47%,0.4
2212,2212,Gegard Mousasi,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,50%,1.21,68%,1.59,60%,59%,1.1
2213,2213,Su Mudaerji,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.49,51%,2.19,68%,0.4,100%,77%,0.8
2216,2216,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.75,43%,4.02,60%,1.97,28%,85%,0.2
2220,2220,Jamie Mullarkey,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",1.87,33%,4.6,42%,4.0,30%,66%,0.5
2222,2222,Pedro Munhoz,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.6,43%,5.87,58%,0.68,21%,80%,0.8
2223,2223,Andre Muniz,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",2.21,58%,1.8,45%,2.61,35%,37%,2.2
2225,2225,Mark Munoz,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6
2227,2227,Johnny Munoz,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 16, 1993",3.27,62%,1.4,58%,2.0,12%,0%,1.0
2229,2229,Makhmud Muradov,"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990",5.32,42%,2.92,64%,0.36,16%,100%,0.4
2230,2230,Kanako Murata,"5' 1""",115 lbs.,"62""",Orthodox,"Aug 10, 1993",1.93,67%,1.93,52%,4.0,44%,0%,2.0
2236,2236,Lauren Murphy,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",3.8,38%,3.82,63%,1.18,37%,70%,0.1
2238,2238,Lerone Murphy,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",2.86,42%,2.07,63%,0.87,33%,41%,0.9
2242,2242,Nicholas Musoke,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 05, 1986",3.56,35%,3.8,57%,1.16,19%,82%,0.2
2245,2245,Magomed Mustafaev,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988",2.59,58%,2.68,41%,3.31,50%,23%,0.4
2258,2258,Keita Nakamura,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2.23,36%,3.2,58%,1.65,48%,63%,0.3
2260,2260,Kazuhiro Nakamura,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979",1.56,37%,1.83,59%,1.73,36%,42%,0.6
2268,2268,Rose Namajunas,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992",4.13,40%,3.98,60%,1.91,53%,50%,0.8
2272,2272,Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990",3.42,37%,3.95,51%,2.37,33%,100%,1.6
2273,2273,Rodrigo Nascimento,"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",4.23,55%,4.32,42%,2.7,100%,100%,2.7
2276,2276,Rafael Natal,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",3.1,47%,2.48,57%,2.55,34%,77%,0.5
2279,2279,Ismail Naurdiev,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 18, 1996",3.17,52%,1.3,68%,1.25,71%,70%,0.2
2285,2285,Geoff Neal,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",4.94,49%,4.93,61%,0.5,50%,92%,0.2
2289,2289,Josh Neer,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 24, 1983",3.29,46%,3.63,58%,1.09,34%,46%,1.3
2290,2290,Shane Nelson,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",1.38,31%,2.84,61%,1.31,18%,54%,1.6
2291,2291,Kyle Nelson,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",3.63,41%,6.82,47%,0.96,12%,60%,1.9
2292,2292,Gunnar Nelson,"5' 11""",170 lbs.,"72""",Switch,"Jul 28, 1988",1.71,57%,3.33,49%,1.72,55%,66%,0.9
2293,2293,Roy Nelson,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",2.18,36%,4.79,46%,1.14,27%,65%,0.1
2297,2297,Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987",1.36,33%,3.92,45%,3.07,37%,0%,0.5
2304,2304,Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",3.51,40%,3.01,59%,0.25,33%,63%,1.0
2308,2308,Matheus Nicolau,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",3.79,52%,2.83,67%,1.93,44%,100%,1.4
2310,2310,Tom Niinimaki,"5' 9""",145 lbs.,"69""",Orthodox,"Jul 25, 1982",1.91,54%,2.31,58%,2.97,46%,33%,0.5
2312,2312,Ramsey Nijem,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 01, 1988",3.05,44%,1.62,62%,5.32,62%,55%,1.1
2316,2316,Guangyou Ning,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",2.66,41%,1.91,61%,1.09,50%,62%,0.3
2322,2322,Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980",3.94,46%,2.41,65%,0.5,45%,53%,0.2
2326,2326,Antonio Rodrigo Nogueira,"6' 3""",240 lbs.,"77""",Orthodox,"Jun 02, 1976",1.95,42%,2.4,55%,1.3,29%,36%,2.4
2327,2327,Rogerio Nogueira,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,0.64,44%,62%,0.8
2330,2330,Kyle Noke,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",3.23,50%,2.09,64%,1.53,54%,66%,0.8
2332,2332,Sage Northcutt,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",3.58,52%,1.96,58%,1.81,34%,41%,0.6
2336,2336,Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",4.5,51%,2.45,57%,2.5,53%,84%,0.9
2337,2337,Phillipe Nover,"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984",1.79,35%,2.48,56%,0.99,28%,44%,0.7
2338,2338,Diego Nunes,"5' 6""",145 lbs.,"67""",Orthodox,"Nov 30, 1982",2.72,43%,2.59,58%,1.18,44%,65%,0.6
2341,2341,Khabib Nurmagomedov,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",4.1,48%,1.75,65%,5.32,48%,84%,0.8
2348,2348,Jake O'Brien,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1984",1.31,31%,1.92,69%,6.39,54%,25%,0.2
2354,2354,Sean O'Malley,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",6.35,57%,3.76,64%,1.05,50%,61%,1.1
2356,2356,Casey O'Neill,"5' 6""",125 lbs.,"69""",,"Oct 07, 1997",5.64,72%,1.84,42%,6.91,66%,0%,1.7
2358,2358,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987",1.9,47%,2.77,39%,2.22,43%,36%,0.6
2368,2368,Yushin Okami,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981",2.06,38%,2.25,60%,1.98,39%,84%,0.5
2373,2373,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.47,50%,3.85,44%,2.38,46%,33%,2.4
2374,2374,Rafaello Oliveira,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982",2.19,33%,3.38,59%,2.49,36%,11%,1.6
2375,2375,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.22,52%,2.94,54%,2.64,44%,57%,2.8
2380,2380,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2.87,50%,2.18,48%,2.41,37%,63%,0.6
2386,2386,Cameron Olson,"6' 1""",205 lbs.,"75""",Orthodox,"Nov 22, 1989",3.13,47%,2.2,57%,3.0,42%,100%,1.0
2387,2387,Daniel Omielanczuk,"6' 0""",247 lbs.,"74""",Southpaw,"Aug 31, 1982",3.09,57%,3.29,47%,0.56,26%,68%,0.1
2388,2388,Michihiro Omigawa,"5' 6""",145 lbs.,"68""",Orthodox,"Dec 19, 1975",2.01,39%,3.06,64%,1.19,36%,49%,1.5
2393,2393,Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",4.29,38%,6.28,52%,0.8,21%,56%,1.1
2394,2394,Tito Ortiz,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",2.59,46%,2.88,60%,2.47,35%,54%,0.6
2396,2396,Ode Osbourne,"5' 7""",145 lbs.,"73""",Southpaw,"Jan 09, 1992",4.3,54%,3.04,42%,1.9,100%,66%,1.9
2398,2398,Kenji Osawa,"5' 7""",135 lbs.,"66""",Orthodox,"Nov 04, 1976",2.34,35%,2.14,63%,0.91,58%,68%,0.7
2399,2399,Nick Osipczak,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 30, 1984",2.83,50%,3.77,50%,1.2,45%,71%,1.0
2400,2400,Dustin Ortiz,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988",2.94,44%,2.17,56%,3.01,36%,52%,0.1
2402,2402,Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,"Feb 25, 1991",2.54,43%,3.97,57%,2.03,83%,66%,0.8
2404,2404,Zak Ottow,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986",2.63,36%,2.73,58%,0.97,29%,57%,0.4
2408,2408,Sidney Outlaw,"5' 8""",170 lbs.,"74""",Orthodox,"Apr 11, 1992",0.13,33%,0.8,71%,3.0,75%,0%,3.0
2410,2410,Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",3.67,64%,2.44,57%,1.42,55%,73%,0.8
2416,2416,Nick Pace,"5' 7""",135 lbs.,"68""",Orthodox,"Apr 17, 1987",1.48,34%,3.14,57%,2.52,43%,54%,0.5
2418,2418,Teemu Packalen,"6' 1""",155 lbs.,"75""",Orthodox,"May 22, 1987",2.57,54%,3.91,47%,2.31,25%,100%,1.5
2422,2422,Damacio Page,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 30, 1982",2.05,38%,2.47,51%,2.63,64%,23%,0.9
2424,2424,Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987",1.65,53%,2.96,41%,1.03,44%,55%,2.6
2426,2426,Raulian Paiva,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 17, 1995",4.46,43%,4.89,51%,0.26,20%,80%,0.3
2430,2430,Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979",1.71,54%,2.31,62%,0.62,11%,10%,2.2
2432,2432,Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983",2.67,32%,3.97,57%,0.65,31%,53%,0.5
2433,2433,Rousimar Palhares,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",1.75,51%,2.04,59%,3.93,45%,0%,4.1
2439,2439,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.3,47%,3.39,53%,0.94,35%,68%,0.9
2447,2447,Karo Parisyan,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0
2458,2458,Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",1.8,55%,0.89,69%,2.32,53%,84%,1.7
2459,2459,Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",1.79,40%,2.64,43%,3.48,38%,50%,0.3
2468,2468,Jonathan Pearce,"6' 0""",145 lbs.,"71""",Switch,"May 01, 1992",8.8,55%,6.65,46%,5.91,60%,75%,0.7
2474,2474,Tyson Pedro,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",2.7,62%,2.55,48%,0.74,25%,52%,1.5
2478,2478,Julianna Pena,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",2.8,47%,1.7,53%,2.49,53%,23%,0.8
2479,2479,Kurt Pellegrino,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",2.45,43%,1.94,63%,2.9,54%,69%,0.8
2480,2480,Luis Pena,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993",3.26,47%,2.74,50%,1.37,33%,45%,1.4
2483,2483,Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4
2484,2484,BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978",2.76,48%,3.2,56%,1.19,55%,74%,0.5
2486,2486,Jessica Penne,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 30, 1983",2.46,33%,4.73,48%,1.58,25%,20%,0.6
2488,2488,Raquel Pennington,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.62,48%,3.2,63%,1.12,28%,65%,0.7
2490,2490,Godofredo Pepey,"5' 7""",145 lbs.,"73""",Orthodox,"Jul 02, 1987",2.32,38%,3.23,47%,0.37,7%,35%,1.5
2492,2492,Michel Pereira,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 06, 1993",3.74,54%,2.84,58%,1.76,70%,100%,0.5
2494,2494,Viviane Pereira,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",2.7,30%,4.48,58%,0.25,100%,28%,0.2
2499,2499,Erik Perez,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,3.16,55%,69%,0.2
2500,2500,Frankie Perez,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989",1.64,41%,2.17,54%,1.75,41%,50%,0.3
2501,2501,Alejandro Perez,"5' 6""",145 lbs.,"67""",Orthodox,"Sep 02, 1989",3.52,35%,2.94,64%,0.52,20%,73%,0.1
2502,2502,Markus Perez,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",2.6,47%,3.72,52%,0.81,25%,77%,1.0
2504,2504,Alex Perez,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.62,47%,3.08,61%,2.92,45%,87%,1.3
2506,2506,Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2.27,43%,3.77,53%,2.03,22%,33%,1.1
2514,2514,Mike Perry,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",4.35,47%,4.82,54%,0.69,38%,77%,0.2
2517,2517,Steven Peterson,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",4.65,35%,5.89,56%,2.02,28%,75%,0.4
2518,2518,Seth Petruzelli,"6' 0""",205 lbs.,"76""",Orthodox,"Dec 03, 1979",2.17,41%,2.08,55%,0.46,50%,47%,2.3
2519,2519,Anthony Pettis,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",3.05,47%,3.44,54%,0.61,50%,60%,1.1
2523,2523,Sergio Pettis,"5' 6""",125 lbs.,"69""",Orthodox,"Aug 18, 1993",3.88,37%,2.91,65%,0.85,40%,67%,0.4
2526,2526,Nam Phan,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",4.52,37%,6.55,59%,0.18,18%,60%,0.2
2528,2528,Constantinos Philippou,"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",2.19,35%,2.73,54%,0.4,42%,65%,0.3
2530,2530,Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",2.6,33%,3.07,58%,0.75,25%,53%,0.2
2531,2531,Kyler Phillips,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995",5.32,46%,3.04,61%,2.88,63%,71%,0.4
2532,2532,Vinc Pichel,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.2,46%,2.28,56%,3.83,60%,20%,0.3
2534,2534,Jamie Pickett,"6' 2""",185 lbs.,"80""",Orthodox,"Aug 29, 1988",2.84,55%,4.84,46%,1.48,40%,37%,0.4
2537,2537,Oskar Piechota,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.3,52%,3.93,51%,0.61,40%,38%,1.5
2538,2538,Mike Pierce,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2
2539,2539,Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",3.02,31%,4.63,55%,2.47,44%,58%,0.4
2541,2541,Sean Pierson,"6' 0""",170 lbs.,"76""",Southpaw,"Mar 10, 1976",3.84,39%,3.73,64%,0.39,18%,66%,0.4
2542,2542,Domingo Pilarte,"6' 0""",135 lbs.,"73""",Southpaw,"Jan 05, 1990",2.04,50%,3.69,42%,2.0,42%,75%,1.3
2543,2543,Daniel Pineda,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",3.41,49%,2.72,44%,1.55,29%,44%,1.8
2547,2547,Pingyuan Liu,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0
2548,2548,Maki Pitolo,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990",4.2,44%,3.71,56%,2.42,52%,55%,0.5
2554,2554,Igor Pokrajac,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 02, 1979",2.25,45%,4.26,40%,0.87,29%,51%,0.2
